,job_title,salary
306,САУН ЖАКУЗЗИ ҮЙЛЧИЛГЭЭНИЙ АЖИЛТАН /эрэгтэй/,"1,000,000 - 1,200,000"
307,ДОТРЫН ИХ ЭМЧ/ Ахлах зэрэгтэй/БААТАРВАНД,"1,200,000 - 1,500,000"
308,ХҮНИЙ НӨӨЦИЙН МЕНЕЖЕР-Баатарванд,"1,200,000 - 1,500,000"
309,БАРИАЧ/ ХӨДӨЛГӨӨН ЗАСАЛЧ/БААТАРВАНД,"1,200,000 - 1,500,000"
310,Европ хоолны Ахлах тогооч БАГШЛАХ/Баатарванд,"1,800,000 - 2,100,000"
311,ГРАФИК ДИЗАЙНЕР,"1,500,000 - 1,800,000"
312,Системийн админ,"2,500,000 - 3,000,000"
313,IT мэргэжилтэн/ Баатарванд,"1,200,000 - 1,500,000"
314,Гэрийн үйлчлэгч,"1,800,000 - 2,100,000 Тохиролцоно"
315,Planner,"3,000,000 - 4,000,000"
316,Төлөвлөлтийн инженер,"4,000,000 - 5,000,000"
317,Хятад хэлний орчуулагч- Сайт дээр ажиллах,"3,000,000 - 4,000,000"
318,ЕРӨНХИЙ НЯГТЛАН БОДОГЧ /IT/,"2,100,000 - 2,500,000"
319,Шөнийн 19-07 цагт ажиллах Бараа бэлтгэгч,"1,200,000 - 1,500,000"
320,Хүний нөөцийн багш ажилд авна,"1,200,000 - 1,500,000"
321,Нягтлан бодох бүртгэлийн багш ажилд авна,"1,200,000 - 1,500,000"
322,Бизнесийн удирдлагын багш ажилд авна,"1,000,000 - 1,200,000"
323,ДЭЛГҮҮРИЙН МЕНЕЖЕР,"2,100,000 - 2,500,000"
324,Хэрэглэгчийн зөвлөх ажилтан,"1,500,000 - 1,800,000"
325,МАРКЕТИНГИЙН МЕНЕЖЕР,"1,500,000 - 1,800,000"
326,Сошиал  дизайнер,"1,000,000 - 1,200,000"
327,Барилгын инженер,"1,500,000 - 1,800,000 Тохиролцоно"
328,БҮСИЙН МЕНЕЖЕР /ХЯТАД ХЭЛТЭЙ/,"1,500,000 - 1,800,000"
329,Backend хөгжүүлэгч /шинэ орон тоо/,"3,000,000 - 4,000,000"
330,Frontend Хөгжүүлэгч,"2,500,000 - 3,000,000"
331,Төслийн зохицуулагч,"1,500,000 - 1,800,000"
